time,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
8.300000,2.193180,7.600602,4.051363,1.140271,-0.479005,-0.000354
8.400000,3.079171,7.331474,3.960559,1.155040,-0.518293,-0.000576
8.500000,4.077460,7.036088,3.851881,1.158909,-0.556270,-0.000651
8.600000,5.142623,6.725098,3.728262,1.149940,-0.589953,-0.000613
8.700000,6.225751,6.410028,3.593208,1.126556,-0.616601,-0.000505
8.800000,7.280771,6.101630,3.450189,1.087748,-0.634043,-0.000379
8.900000,8.269601,5.808510,3.302133,1.033244,-0.640899,-0.000288
9.000000,9.165503,5.536212,3.151080,0.963638,-0.636690,-0.000282
9.100000,9.954411,5.286769,2.998042,0.880434,-0.621843,-0.000406
9.200000,10.634454,5.058677,2.843017,0.786014,-0.597605,-0.000692
9.300000,11.214109,4.847207,2.685140,0.683512,-0.565901,-0.001160
9.400000,11.709562,4.644976,2.522925,0.576620,-0.529151,-0.001818
9.500000,12.141809,4.442737,2.354567,0.469347,-0.490072,-0.002658
9.600000,12.533988,4.230320,2.178294,0.365759,-0.451484,-0.003659
9.700000,12.909342,3.997674,1.992733,0.269740,-0.416160,-0.004793
9.800000,13.290043,3.735987,1.797298,0.184815,-0.386705,-0.006017
9.900000,13.697150,3.439187,1.592767,0.114059,-0.365519,-0.007285
