time,joint_1_angle,joint_2_angle,joint_3_angle,joint_4_angle,joint_5_angle,joint_6_angle,joint_1_velocity,joint_2_velocity,joint_3_velocity,joint_4_velocity,joint_5_velocity,joint_6_velocity,joint_1_acceleration,joint_2_acceleration,joint_3_acceleration,joint_4_acceleration,joint_5_acceleration,joint_6_acceleration,quaternion_x,quaternion_y,quaternion_z,quaternion_w
1.70000000,0.46438261,0.09144413,0.29283227,0.02536643,-0.01533353,-0.00004104,0.48497327,0.05404549,0.30694968,0.03722671,-0.02338982,-0.00011555,0.09486741,-0.02086574,0.09611043,0.02590992,-0.01745707,-0.00016315,0.04402306,-0.02994530,-0.12625209,0.99056835
1.80000000,0.51287994,0.09684868,0.32352724,0.02908911,-0.01767252,-0.00005259,0.49446001,0.05195892,0.31656073,0.03981771,-0.02513552,-0.00013187,0.06962410,-0.01481131,0.09043194,0.02478711,-0.01684318,-0.00016859,0.04804606,-0.03128403,-0.13927627,0.98859243
1.90000000,0.56232594,0.10204457,0.35518331,0.03307088,-0.02018607,-0.00006578,0.50142242,0.05047779,0.32560392,0.04229642,-0.02681984,-0.00014873,0.04410452,-0.00731103,0.08494210,0.02336823,-0.01603643,-0.00017298,0.05205108,-0.03246081,-0.15247635,0.98640151
2.00000000,0.61246818,0.10709235,0.38774371,0.03730052,-0.02286805,-0.00008065,0.50583287,0.04974668,0.33409813,0.04463324,-0.02842348,-0.00016602,0.01841245,0.00143289,0.07951358,0.02165630,-0.01503869,-0.00017630,0.05602294,-0.03349119,-0.16577140,0.98400183
2.10000000,0.66305147,0.11206702,0.42115352,0.04176384,-0.02571040,-0.00009725,0.50767412,0.04988997,0.34204949,0.04679887,-0.02992735,-0.00018365,-0.00734563,0.01119871,0.07401534,0.01965848,-0.01385442,-0.00017851,0.05995117,-0.03439469,-0.17908132,0.98140345
2.20000000,0.71381888,0.11705601,0.45535847,0.04644373,-0.02870314,-0.00011562,0.50693956,0.05100984,0.34945102,0.04876472,-0.03131279,-0.00020151,-0.03306081,0.02174851,0.06831551,0.01738620,-0.01249074,-0.00017961,0.06383005,-0.03519355,-0.19232757,0.97862007
2.30000000,0.76451283,0.12215700,0.49030357,0.05132020,-0.03183441,-0.00013577,0.50363347,0.05318469,0.35628257,0.05050334,-0.03256187,-0.00021947,-0.05862174,0.03283179,0.06228437,0.01485534,-0.01095751,-0.00017956,0.06765838,-0.03591154,-0.20543380,0.97566882
2.40000000,0.81487618,0.12747547,0.52593183,0.05637053,-0.03509060,-0.00015772,0.49777130,0.05646787,0.36251101,0.05198887,-0.03365762,-0.00023742,-0.08391437,0.04418925,0.05579745,0.01208615,-0.00926733,-0.00017837,0.07143902,-0.03657275,-0.21832653,0.97257001
2.50000000,0.86465331,0.13312225,0.56218293,0.06156942,-0.03845636,-0.00018146,0.48937986,0.06088680,0.36809075,0.05319749,-0.03458435,-0.00025526,-0.10882168,0.05555687,0.04873866,0.00910325,-0.00743545,-0.00017602,0.07517831,-0.03720055,-0.23093572,0.96934670
2.60000000,0.91359130,0.13921093,0.59899200,0.06688917,-0.04191480,-0.00020698,0.47849770,0.06644248,0.37296462,0.05410781,-0.03532790,-0.00027286,-0.13322330,0.06667002,0.04100346,0.00593547,-0.00547975,-0.00017251,0.07888531,-0.03781657,-0.24319536,0.96602434
2.70000000,0.96144107,0.14585518,0.63628846,0.07229995,-0.04544759,-0.00023427,0.46517537,0.07310949,0.37706497,0.05470136,-0.03587587,-0.00029011,-0.15699516,0.07726781,0.03250189,0.00261556,-0.00342048,-0.00016784,0.08257090,-0.03843999,-0.25504410,0.96263021
2.80000000,1.00795861,0.15316613,0.67399496,0.07777009,-0.04903518,-0.00026328,0.44947585,0.08083627,0.38031515,0.05496291,-0.03621792,-0.00030690,-0.18000938,0.08709745,0.02316155,-0.00082015,-0.00128010,-0.00016201,0.08624683,-0.03908691,-0.26642574,0.95919290
2.90000000,1.05290619,0.16124976,0.71202648,0.08326638,-0.05265697,-0.00029397,0.43147491,0.08954601,0.38263131,0.05488090,-0.03634593,-0.00032310,-0.20213430,0.09591868,0.01293038,-0.00433223,0.00091704,-0.00015502,0.08992476,-0.03976999,-0.27728989,0.95574170
3.00000000,1.09605368,0.17020436,0.75028961,0.08875447,-0.05629156,-0.00032628,0.41126148,0.09913788,0.38392435,0.05444768,-0.03625423,-0.00033860,-0.22323498,0.10350810,0.00177905,-0.00787874,0.00314507,-0.00014689,0.09361530,-0.04049829,-0.28759245,0.95230596
3.10000000,1.13717983,0.18011815,0.78868204,0.09419924,-0.05991698,-0.00036014,0.38893798,0.10948869,0.38410225,0.05365980,-0.03593972,-0.00035329,-0.24317399,0.10966348,-0.01029686,-0.01141588,0.00537699,-0.00013761,0.09732714,-0.04127730,-0.29729619,0.94891442
3.20000000,1.17607363,0.19106702,0.82709227,0.09956522,-0.06351096,-0.00039547,0.36462059,0.12045504,0.38307257,0.05251822,-0.03540202,-0.00036705,-0.26181278,0.11420774,-0.02327538,-0.01489880,0.00758518,-0.00012719,0.10106630,-0.04210920,-0.30637121,0.94559457
3.30000000,1.21253569,0.20311252,0.86539952,0.10481704,-0.06705116,-0.00043217,0.33843931,0.13187581,0.38074503,0.05102833,-0.03464350,-0.00037977,-0.27901352,0.11699266,-0.03710713,-0.01828248,0.00974193,-0.00011566,0.10483560,-0.04299327,-0.31479541,0.94237196
3.40000000,1.24637962,0.21630010,0.90347403,0.10991987,-0.07051551,-0.00047015,0.31053796,0.14357508,0.37703432,0.04920009,-0.03366931,-0.00039133,-0.29464149,0.11790220,-0.05171507,-0.02152262,0.01181998,-0.00010301,0.10863426,-0.04392645,-0.32255477,0.93926965
3.50000000,1.27743341,0.23065761,0.94117746,0.11483988,-0.07388244,-0.00050928,0.28107381,0.15536530,0.37186281,0.04704782,-0.03248731,-0.00040164,-0.30856793,0.11685514,-0.06699513,-0.02457664,0.01379316,-0.00008927,0.11245775,-0.04490397,-0.32964354,0.93630765
3.60000000,1.30554079,0.24619414,0.97836374,0.11954466,-0.07713117,-0.00054945,0.25021701,0.16705081,0.36516330,0.04459016,-0.03110799,-0.00041056,-0.32067331,0.11380704,-0.08281768,-0.02740467,0.01563694,-0.00007447,0.11629785,-0.04591999,-0.33606422,0.93350254
3.70000000,1.33056250,0.26289922,1.01488007,0.12400368,-0.08024197,-0.00059050,0.21814968,0.17843152,0.35688153,0.04184969,-0.02954430,-0.00041801,-0.33085085,0.10875140,-0.09903001,-0.02997047,0.01732904,-0.00005862,0.12014293,-0.04696834,-0.34182735,0.93086718
3.80000000,1.35237746,0.28074237,1.05056822,0.12818865,-0.08319640,-0.00063231,0.18506460,0.18930666,0.34697853,0.03885265,-0.02781140,-0.00042387,-0.33901014,0.10171980,-0.11545980,-0.03224235,0.01884999,-0.00004177,0.12397841,-0.04804310,-0.34695102,0.92841057
3.90000000,1.37088392,0.29967304,1.08526607,0.13207391,-0.08597754,-0.00067469,0.15116358,0.19947864,0.33543255,0.03562841,-0.02592640,-0.00042805,-0.34508058,0.09278101,-0.13191951,-0.03419393,0.02018354,-0.00002395,0.12778731,-0.04913909,-0.35146015,0.92613795
4.00000000,1.38600028,0.31962090,1.11880933,0.13563675,-0.08857018,-0.00071750,0.11665553,0.20875674,0.32224060,0.03220902,-0.02390804,-0.00043044,-0.34901448,0.08203902,-0.14821161,-0.03580478,0.02131709,-0.00000521,0.13155095,-0.05025227,-0.35538549,0.92405097
