iter,best_loss,mean_loss,iter_time_s,eval_time_s
3.200000000000000000e+01,-1.431174468994140625e+01,-5.608259677886962891e+00,7.213509920984506607e-02,7.194888778030872345e-02
3.300000000000000000e+01,-1.431174468994140625e+01,-5.724246978759765625e+00,7.193788792937994003e-02,7.176715787500143051e-02
3.400000000000000000e+01,-1.431174468994140625e+01,-5.886982440948486328e+00,7.225356809794902802e-02,7.209187792614102364e-02
3.500000000000000000e+01,-1.431174468994140625e+01,-6.052749633789062500e+00,7.233254890888929367e-02,7.214936800301074982e-02
3.600000000000000000e+01,-1.456289768218994141e+01,-6.163408279418945312e+00,7.210563914850354195e-02,7.192570809274911880e-02
3.700000000000000000e+01,-1.456289768218994141e+01,-6.265969276428222656e+00,7.198102818801999092e-02,7.181959785521030426e-02
3.800000000000000000e+01,-1.456289768218994141e+01,-6.385388374328613281e+00,7.193490769714117050e-02,7.177731813862919807e-02
3.900000000000000000e+01,-1.472024726867675781e+01,-6.545080661773681641e+00,7.134019769728183746e-02,7.118218811228871346e-02
4.000000000000000000e+01,-1.594358730316162109e+01,-6.500146865844726562e+00,7.152333715930581093e-02,7.136017736047506332e-02
4.100000000000000000e+01,-1.594358730316162109e+01,-6.613141059875488281e+00,7.204429898411035538e-02,7.186102773994207382e-02
4.200000000000000000e+01,-1.742426872253417969e+01,-6.753668785095214844e+00,7.230909820646047592e-02,7.213296787813305855e-02
4.300000000000000000e+01,-1.742426872253417969e+01,-6.821665287017822266e+00,7.224223902449011803e-02,7.206781767308712006e-02
4.400000000000000000e+01,-1.742426872253417969e+01,-6.886899948120117188e+00,7.230841787531971931e-02,7.213455811142921448e-02
4.500000000000000000e+01,-1.742426872253417969e+01,-6.995769023895263672e+00,7.204922894015908241e-02,7.188688823953270912e-02
4.600000000000000000e+01,-1.742426872253417969e+01,-7.159994125366210938e+00,7.249984890222549438e-02,7.233985885977745056e-02
4.700000000000000000e+01,-1.742426872253417969e+01,-7.239832878112792969e+00,7.196798827499151230e-02,7.180356793105602264e-02
4.800000000000000000e+01,-1.742426872253417969e+01,-7.340916633605957031e+00,7.232490787282586098e-02,7.214617822319269180e-02
4.900000000000000000e+01,-1.742426872253417969e+01,-7.521099090576171875e+00,7.202801899984478951e-02,7.185961818322539330e-02
5.000000000000000000e+01,-1.742426872253417969e+01,-7.644464015960693359e+00,7.212840812280774117e-02,7.196717802435159683e-02
5.100000000000000000e+01,-1.742426872253417969e+01,-7.706640243530273438e+00,7.293629972264170647e-02,7.275547040626406670e-02
5.200000000000000000e+01,-1.742426872253417969e+01,-7.831577301025390625e+00,7.212811755016446114e-02,7.196460803970694542e-02
5.300000000000000000e+01,-1.742426872253417969e+01,-8.001323699951171875e+00,7.204112783074378967e-02,7.180634839460253716e-02
5.400000000000000000e+01,-1.742426872253417969e+01,-8.065480232238769531e+00,7.400078093633055687e-02,7.376387994736433029e-02
5.500000000000000000e+01,-1.802869033813476562e+01,-8.234848022460937500e+00,7.298215897753834724e-02,7.280452921986579895e-02
