noise_scale,idx,physics_loss,max_joint,total_loss,wp_l2,wp_linf
0.0,0,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,1,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,2,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,3,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,4,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,5,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,6,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,7,-5.485069751739502,2.7671773433685303,-5.208352088928223,0.0,0.0
0.0,8,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,9,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,10,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,11,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,12,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,13,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,14,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,15,-2.714890956878662,3.4036505222320557,-2.374526023864746,0.0,0.0
0.0,16,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,17,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,18,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,19,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,20,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,21,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,22,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,23,-2.3188295364379883,3.0159265995025635,-2.0172369480133057,0.0,0.0
0.0,24,-3.8845109939575195,3.50974702835083,-3.533536195755005,0.0,0.0
0.0,25,-3.8845109939575195,3.50974702835083,-3.533536195755005,0.0,0.0
0.0,26,-3.8845109939575195,3.50974702835083,-3.533536195755005,0.0,0.0
0.0,27,-3.8845109939575195,3.50974702835083,-3.533536195755005,0.0,0.0
0.0,28,-3.8845109939575195,3.50974702835083,-3.533536195755005,0.0,0.0
0.0,29,-3.8845109939575195,3.50974702835083,-3.533536195755005,0.0,0.0
0.0,30,-3.8845109939575195,3.50974702835083,-3.533536195755005,9.638644087317516e-07,4.172325134277344e-07
0.0,31,-3.8845109939575195,3.50974702835083,-3.533536195755005,9.638644087317516e-07,4.172325134277344e-07
0.0,32,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,33,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,34,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,35,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,36,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,37,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,38,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,39,-6.09187650680542,2.775223970413208,-5.814353942871094,0.0,0.0
0.0,40,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,41,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,42,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,43,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,44,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,45,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,46,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,47,-5.209298133850098,3.514291763305664,-4.8578691482543945,0.0,0.0
0.0,48,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,49,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,50,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,51,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,52,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,53,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,54,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,55,-5.122127056121826,2.3143413066864014,-4.890692710876465,0.0,0.0
0.0,56,-4.517548084259033,2.969029426574707,-4.220644950866699,0.0,0.0
0.0,57,-4.517548084259033,2.969029426574707,-4.220644950866699,0.0,0.0
0.0,58,-4.517548084259033,2.969029426574707,-4.220644950866699,0.0,0.0
0.0,59,-4.517548084259033,2.969029426574707,-4.220644950866699,0.0,0.0
0.0,60,-4.517548084259033,2.969029426574707,-4.220644950866699,0.0,0.0
0.0,61,-4.517548084259033,2.969029426574707,-4.220644950866699,0.0,0.0
0.0,62,-4.5175042152404785,2.969029426574707,-4.2206010818481445,1.3508184792954125e-06,7.152557373046875e-07
0.0,63,-4.5175042152404785,2.969029426574707,-4.2206010818481445,1.3508184792954125e-06,7.152557373046875e-07
0.0,64,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,65,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,66,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,67,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,68,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,69,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,70,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,71,-7.424392223358154,2.1861536502838135,-7.205776691436768,0.0,0.0
0.0,72,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,73,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,74,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,75,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,76,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,77,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,78,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,79,-4.182521343231201,2.43835711479187,-3.938685655593872,0.0,0.0
0.0,80,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,81,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,82,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,83,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,84,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,85,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,86,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,87,-3.818401575088501,3.419766664505005,-3.4764249324798584,0.0,0.0
0.0,88,-2.0898966789245605,3.6360697746276855,-1.7262897491455078,0.0,0.0
0.0,89,-2.0898966789245605,3.6360697746276855,-1.7262897491455078,0.0,0.0
0.0,90,-2.0898966789245605,3.6360697746276855,-1.7262897491455078,0.0,0.0
0.0,91,-2.0898966789245605,3.6360697746276855,-1.7262897491455078,0.0,0.0
0.0,92,-2.0898966789245605,3.6360697746276855,-1.7262897491455078,0.0,0.0
0.0,93,-2.0898966789245605,3.6360697746276855,-1.7262897491455078,0.0,0.0
0.0,94,-2.0898988246917725,3.6360697746276855,-1.7262918949127197,8.491394396514806e-07,4.76837158203125e-07
0.0,95,-2.0898988246917725,3.6360697746276855,-1.7262918949127197,8.491394396514806e-07,4.76837158203125e-07
0.0,96,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,97,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,98,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,99,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,100,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,101,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,102,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
0.0,103,-1.4413998126983643,3.5621466636657715,-1.085185170173645,0.0,0.0
