noise_scale,batch_size,num_noise_samples,total_loss_mean,total_loss_std,total_loss_p50,total_loss_p90,physics_loss_mean,physics_loss_std,max_joint_mean,max_joint_std,wp_l2_mean,wp_l2_std,wp_linf_mean,wp_linf_std,finite_frac_total_loss
0.0,16,8,-4.158536911010742,1.645643949508667,-4.520902156829834,-1.7262897491455078,-4.46030855178833,1.6130820512771606,3.01772141456604,0.5048432946205139,6.945274577674354e-08,2.7407290303926857e-07,3.4458935260772705e-08,1.3649199104293075e-07,1.0
0.05,16,8,-4.153942584991455,1.6419730186462402,-4.5213165283203125,-1.7342500686645508,-4.455781936645508,1.6092281341552734,3.0183944702148438,0.5052312612533569,0.05988655984401703,0.020230533555150032,0.033763669431209564,0.01277803536504507,1.0
0.1,16,8,-4.16778564453125,1.683923363685608,-4.439421653747559,-1.735872745513916,-4.469371795654297,1.650829553604126,3.0158681869506836,0.5040719509124756,0.11112213879823685,0.04180453345179558,0.06265612691640854,0.025173580273985863,1.0
0.2,16,8,-4.197878360748291,1.698808193206787,-4.505435943603516,-1.722511887550354,-4.499300003051758,1.6658636331558228,3.014216423034668,0.5054321885108948,0.22345858812332153,0.0994977131485939,0.12541189789772034,0.0629938393831253,1.0
0.5,16,8,-4.225054740905762,1.6035031080245972,-4.309387683868408,-1.9113304615020752,-4.526198863983154,1.5697001218795776,3.0114376544952393,0.4993155598640442,0.5437570810317993,0.17731867730617523,0.31522348523139954,0.12291248142719269,1.0
1.0,16,8,-4.143309116363525,1.7096688747406006,-4.137970924377441,-1.7968063354492188,-4.445285320281982,1.6811096668243408,3.0197548866271973,0.4879259765148163,1.084844708442688,0.4031011164188385,0.6398394107818604,0.2932285666465759,1.0
