epoch,train_loss,epoch_duration,val_loss
1,0.5809873342514038,0.2473440170288086,
2,0.21294793486595154,0.05583620071411133,
3,0.2797192931175232,0.05589795112609863,
4,0.23525764048099518,0.05658125877380371,
5,0.06402693688869476,0.05620741844177246,
6,-0.13809049129486084,0.05777621269226074,
7,-0.12791159749031067,0.05584526062011719,
8,-0.15462282299995422,0.055136680603027344,
9,-0.225985586643219,0.05634427070617676,
10,-0.31486397981643677,0.05534076690673828,-2.5536649227142334
11,-0.3538340926170349,0.13390612602233887,
12,-0.402353435754776,0.05652427673339844,
13,-0.48786789178848267,0.056902170181274414,
14,-0.6188086271286011,0.05597853660583496,
15,-0.6381679177284241,0.05833911895751953,
16,-0.7510919570922852,0.05692005157470703,
17,-0.7549804449081421,0.05560731887817383,
18,-0.7229784727096558,0.05684375762939453,
19,-0.8909485340118408,0.05724143981933594,
20,-0.8991093635559082,0.0565791130065918,-1.4168200492858887
21,-0.8760116100311279,0.12852239608764648,
22,-1.0296823978424072,0.05580782890319824,
23,-0.8542283773422241,0.05569124221801758,
24,-1.1748661994934082,0.057652950286865234,
25,-1.1590516567230225,0.05595731735229492,
26,-1.0406572818756104,0.05638575553894043,
27,-1.1363234519958496,0.05743002891540527,
28,-1.2076172828674316,0.055166006088256836,
29,-1.2657442092895508,0.05455183982849121,
30,-1.3676642179489136,0.055159568786621094,-1.2986916303634644
31,-1.2877800464630127,0.12911486625671387,
32,-1.3573490381240845,0.057868003845214844,
33,-1.3149585723876953,0.05838823318481445,
34,-1.4592759609222412,0.05583930015563965,
35,-1.3859102725982666,0.05575275421142578,
36,-1.4450807571411133,0.05730772018432617,
37,-1.5249810218811035,0.05564069747924805,
38,-1.6505441665649414,0.05628609657287598,
39,-1.6301956176757812,0.05673074722290039,
40,-1.5445430278778076,0.056060075759887695,-1.6904761791229248
41,-1.686155080795288,0.12865543365478516,
42,-1.7638630867004395,0.0571591854095459,
43,-1.698900818824768,0.056348562240600586,
44,-1.7798374891281128,0.057274818420410156,
45,-1.6455793380737305,0.05583381652832031,
46,-1.716392993927002,0.05752873420715332,
47,-1.8098957538604736,0.05635237693786621,
48,-1.8252090215682983,0.05633187294006348,
49,-1.927731990814209,0.05649852752685547,
50,-1.7917951345443726,0.057639122009277344,-1.1376985311508179
51,-1.8682167530059814,0.12992477416992188,
52,-1.8559774160385132,0.0570375919342041,
53,-1.9805337190628052,0.05698347091674805,
54,-2.026409864425659,0.05579400062561035,
55,-2.093730926513672,0.05672144889831543,
56,-1.9088932275772095,0.05759859085083008,
57,-1.9583991765975952,0.05610179901123047,
58,-1.9445487260818481,0.05635261535644531,
59,-2.124141216278076,0.057465314865112305,
60,-2.15415096282959,0.057164669036865234,-1.643846035003662
61,-2.0828073024749756,0.13231134414672852,
62,-2.097236394882202,0.057260751724243164,
63,-2.1772964000701904,0.05556607246398926,
64,-2.245837926864624,0.056334495544433594,
65,-2.1896932125091553,0.057143449783325195,
66,-2.0677411556243896,0.056124210357666016,
67,-2.198953628540039,0.056505441665649414,
68,-2.2939019203186035,0.05914163589477539,
69,-2.270439863204956,0.05655670166015625,
70,-2.2351627349853516,0.055586814880371094,-0.9864948987960815
71,-2.359281539916992,0.1253213882446289,
72,-2.3523290157318115,0.05567431449890137,
73,-2.2808289527893066,0.05714225769042969,
74,-2.22455096244812,0.05589628219604492,
75,-2.331458330154419,0.05618000030517578,
76,-2.251438617706299,0.054991722106933594,
77,-2.3560128211975098,0.05564284324645996,
78,-2.446983575820923,0.057254791259765625,
79,-2.435153007507324,0.05533456802368164,
80,-2.378364324569702,0.055023908615112305,-1.0415116548538208
81,-2.3902475833892822,0.12392187118530273,
82,-2.4810991287231445,0.0569615364074707,
83,-2.3746497631073,0.05677986145019531,
84,-2.324580669403076,0.0558469295501709,
85,-2.501802444458008,0.057128190994262695,
86,-2.422999858856201,0.05734086036682129,
87,-2.6177706718444824,0.055357933044433594,
88,-2.569472312927246,0.056624650955200195,
89,-2.440317392349243,0.057123422622680664,
90,-2.4485256671905518,0.05588555335998535,-1.293658971786499
91,-2.5090813636779785,0.12772607803344727,
92,-2.535961151123047,0.056307077407836914,
93,-2.6334047317504883,0.058257341384887695,
94,-2.5715274810791016,0.05558371543884277,
95,-2.4911792278289795,0.05570507049560547,
96,-2.3866190910339355,0.05753636360168457,
97,-2.5549330711364746,0.056397438049316406,
98,-2.654991865158081,0.05587410926818848,
99,-2.5697708129882812,0.05761146545410156,
100,-2.509632110595703,0.05639457702636719,-1.1447718143463135
101,-2.477100372314453,0.13221168518066406,
102,-2.602334499359131,0.05782747268676758,
103,-2.6477861404418945,0.05565476417541504,
104,-2.6078848838806152,0.05705976486206055,
105,-2.61021089553833,0.05681729316711426,
106,-2.764230728149414,0.05611848831176758,
107,-2.6533679962158203,0.055942535400390625,
108,-2.755070686340332,0.05682039260864258,
109,-2.6792542934417725,0.05627703666687012,
110,-2.6877853870391846,0.05575156211853027,-1.287611961364746
111,-2.6359140872955322,0.1287388801574707,
112,-2.6674604415893555,0.056903839111328125,
113,-2.7128100395202637,0.05723237991333008,
