t,u0_0,u0_1,u0_2,u0_3,u0_4,u0_5,u0dot_0,u0dot_1,u0dot_2,u0dot_3,u0dot_4,u0dot_5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5764518976211548,1.7007826566696167,0.9570181369781494,-0.37416931986808777,0.027623729780316353,-0.37018850445747375
0.1,-0.05948481336236,0.17816588282585144,0.09807967394590378,-0.03802647441625595,0.003071366110816598,-0.038617461919784546,-0.5599111318588257,1.7306400537490845,0.9108286499977112,-0.3542698621749878,0.02709990181028843,-0.3650342524051666
0.2,-0.11497793346643448,0.3626105785369873,0.18631239235401154,-0.07038796693086624,0.007123509421944618,-0.077368825674057,-0.4953688681125641,1.8157503604888916,0.7588390111923218,-0.2945221960544586,0.02343364991247654,-0.34457704424858093
0.30000000000000004,-0.15942978858947754,0.5582205653190613,0.25123488903045654,-0.09145260602235794,0.012381136417388916,-0.11465270072221756,-0.3355773389339447,1.9291467666625977,0.46075165271759033,-0.1959315687417984,0.011895189993083477,-0.2918797731399536
0.4,-0.17885567247867584,0.7639020681381226,0.2764287292957306,-0.09592611342668533,0.017503120005130768,-0.1462855488061905,7.292451482499018e-05,2.0049705505371094,-0.009718903340399265,-0.06602281332015991,-0.012306218966841698,-0.18423177301883698
0.5,-0.15003012120723724,0.970580518245697,0.24396145343780518,-0.08066989481449127,0.0197164174169302,-0.1641516387462616,0.6120360493659973,1.923238754272461,-0.6189181804656982,0.07431290298700333,-0.04697534069418907,0.0027312079910188913
0.6000000000000001,-0.040036290884017944,1.1510311365127563,0.14912638068199158,-0.047895487397909164,0.01622920110821724,-0.15750277042388916,1.5450340509414673,1.5013898611068726,-1.1723504066467285,0.1857377588748932,-0.07921404391527176,0.2735185921192169
0.7000000000000001,0.17866209149360657,1.2643324136734009,0.014333857223391533,-0.007894695736467838,0.006888736039400101,-0.1158243864774704,2.64546275138855,0.5690916180610657,-1.3120557069778442,0.22302387654781342,-0.08487461507320404,0.5993773341178894
0.8,0.4994627833366394,1.2538306713104248,-0.09622272104024887,0.02296173945069313,-0.0028726987075060606,-0.03617596998810768,3.4038572311401367,-0.8231467008590698,-0.6700205206871033,0.15342290699481964,-0.04638420790433884,0.8963296413421631
0.9,0.8509216904640198,1.091367483139038,-0.1029900386929512,0.029229741543531418,-0.00238708034157753,0.07101947069168091,3.165839433670044,-2.214630603790283,0.5991404056549072,-0.018865099176764488,0.03472178056836128,1.0545903444290161
