t,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6
0.0,-15.980161666870117,-51.047523498535156,-25.001012802124023,-2.6279473304748535,1.690769910812378,-0.07707832008600235
0.1,-15.209127426147461,-50.267826080322266,-24.644184112548828,-2.5640313625335693,1.6463649272918701,-0.07640314847230911
0.2,-12.633602142333984,-47.88860321044922,-23.645606994628906,-2.40183162689209,1.4866639375686646,-0.07432043552398682
0.30000000000000004,-7.68455696105957,-43.569480895996094,-21.964563369750977,-2.0107874870300293,1.1389825344085693,-0.0708031952381134
0.4,0.1739959716796875,-37.01676559448242,-19.721824645996094,-1.2711079120635986,0.5122547149658203,-0.06578873097896576
0.5,10.311500549316406,-28.524208068847656,-17.510639190673828,-0.2988419532775879,-0.44811415672302246,-0.057735227048397064
0.6000000000000001,19.546348571777344,-19.448589324951172,-16.519237518310547,0.5389008522033691,-1.6059083938598633,-0.04257279261946678
0.7000000000000001,21.862548828125,-11.632462501525879,-18.18648910522461,0.422987699508667,-2.6962642669677734,-0.013813965022563934
0.8,11.171157836914062,-6.489776611328125,-22.566904067993164,-1.1267248392105103,-3.2544479370117188,0.030142687261104584
0.9,-10.001167297363281,-3.671100616455078,-27.849231719970703,-3.8358681201934814,-3.032229423522949,0.07756447792053223
1.0,-28.477447509765625,-0.5845108032226562,-30.617687225341797,-6.472029685974121,-2.1518373489379883,0.10657497495412827
1.1,-32.616294860839844,6.540519714355469,-27.27065086364746,-7.711230278015137,-1.0702993869781494,0.1073186844587326
1.2000000000000002,-22.115013122558594,19.494125366210938,-17.873252868652344,-7.635640621185303,-0.009426295757293701,0.0881631076335907
1.3,-5.052791595458984,35.06769943237305,-6.6946587562561035,-7.437082290649414,1.0425159931182861,0.06298591941595078
1.4000000000000001,9.146759033203125,46.77189636230469,0.9912557601928711,-7.963578701019287,1.7240705490112305,0.04553486406803131
1.5,14.5602388381958,50.054443359375,4.023800849914551,-8.572603225708008,1.4627444744110107,0.043954186141490936
