t,q_J1,q_J2,q_J3,q_J4,q_J5,q_J6,qd_J1,qd_J2,qd_J3,qd_J4,qd_J5,qd_J6,qdd_J1,qdd_J2,qdd_J3,qdd_J4,qdd_J5,qdd_J6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.5040339231491089,-1.1966255903244019,-2.1815037727355957,-0.6887610554695129,-1.5670772790908813,-0.03063482604920864
0.1,0.007933243177831173,-0.006311774253845215,-0.011506656184792519,-0.0036329692229628563,-0.008265774697065353,-0.00016158781363628805,0.15014228224754333,-0.11945482343435287,-0.21777164936065674,-0.06875652819871902,-0.15643566846847534,-0.0030581641476601362,1.3786977529525757,-1.0969069004058838,-1.9997118711471558,-0.6313642859458923,-1.4364875555038452,-0.028081927448511124
0.2,0.03082631528377533,-0.024525750428438187,-0.04471157491207123,-0.014116679318249226,-0.03211843967437744,-0.000627884001005441,0.28722870349884033,-0.22852228581905365,-0.4166066646575928,-0.13153423368930817,-0.2992682456970215,-0.00585040170699358,1.2533615827560425,-0.9971880912780762,-1.8179198503494263,-0.5739675164222717,-1.305897831916809,-0.02552902325987816
0.30000000000000004,0.06731922924518585,-0.05355990678071976,-0.09764218330383301,-0.030828334391117096,-0.07014099508523941,-0.0013711878564208746,0.411259263753891,-0.32720234990119934,-0.5965049862861633,-0.18833310902118683,-0.42849770188331604,-0.008376711048185825,1.1280254125595093,-0.8974692225456238,-1.6361279487609863,-0.5165708065032959,-1.1753079891204834,-0.022976120933890343
0.4,0.11605201661586761,-0.09233224391937256,-0.16832593083381653,-0.0531451478600502,-0.12091647833585739,-0.002363798674196005,0.5222340226173401,-0.41549500823020935,-0.7574666142463684,-0.23915314674377441,-0.5441240668296814,-0.010637093335390091,1.002689242362976,-0.7977503538131714,-1.4543358087539673,-0.4591740071773529,-1.0447181463241577,-0.020423216745257378
0.5,0.17566466331481934,-0.13976071774959564,-0.2547902464866638,-0.0804443210363388,-0.18302786350250244,-0.0035780156031250954,0.6201528310775757,-0.49340033531188965,-0.8994916081428528,-0.2839943468570709,-0.6461473107337952,-0.012631547637283802,0.8773531317710876,-0.6980316638946533,-1.2725439071655273,-0.4017772674560547,-0.9141284823417664,-0.01787031628191471
0.6000000000000001,0.24479718506336212,-0.19476330280303955,-0.35506248474121094,-0.11210303753614426,-0.2550581693649292,-0.004986137617379427,0.7050158977508545,-0.5609182715415955,-1.0225800275802612,-0.32285675406455994,-0.7345675230026245,-0.014360076747834682,0.7520169615745544,-0.5983127951622009,-1.0907518863677979,-0.34438052773475647,-0.7835386395454407,-0.01531741302460432
0.7000000000000001,0.32208964228630066,-0.2562580108642578,-0.46717017889022827,-0.14749853312969208,-0.3355904221534729,-0.0065604643896222115,0.776823103427887,-0.618048906326294,-1.1267317533493042,-0.3557403087615967,-0.8093846440315247,-0.015822676941752434,0.6266807317733765,-0.4985940158367157,-0.9089598655700684,-0.28698375821113586,-0.652948796749115,-0.012764510698616505
0.8,0.40618205070495605,-0.32316282391548157,-0.589140772819519,-0.186008021235466,-0.42320767045021057,-0.008273295126855373,0.8355743288993835,-0.664792001247406,-1.2119466066360474,-0.38264501094818115,-0.8705984950065613,-0.017019348219037056,0.501344621181488,-0.3988751769065857,-0.7271679043769836,-0.22958700358867645,-0.5223590731620789,-0.010211608372628689
0.9,0.49571430683135986,-0.3943956792354584,-0.7190015316009521,-0.227008655667305,-0.5164927840232849,-0.010096928104758263,0.8812698721885681,-0.7011479139328003,-1.2782249450683594,-0.4035709500312805,-0.9182093739509583,-0.017950095236301422,0.3760084807872772,-0.29915639758110046,-0.5453759431838989,-0.17219026386737823,-0.39176931977272034,-0.00765870651230216
1.0,0.5893266201019287,-0.46887463331222534,-0.8547801375389099,-0.26987770199775696,-0.6140289306640625,-0.01200366485863924,0.9139094352722168,-0.7271162867546082,-1.3255666494369507,-0.41851797699928284,-0.9522171020507812,-0.018614912405610085,0.25067225098609924,-0.19943757355213165,-0.36358389258384705,-0.11479347944259644,-0.26117950677871704,-0.005105803720653057
