t,yaw,pitch,roll
4.600000000000000533e+00,1.891376434353862074e-02,-3.248308922040557545e-02,-2.270648670231745908e-02
4.700000000000000178e+00,1.807322700116297670e-02,-2.954290878418410968e-02,-2.044955834058009500e-02
4.800000000000000711e+00,1.723609061947511609e-02,-2.651749809619629097e-02,-1.824663091921590458e-02
4.900000000000000355e+00,1.640511340930701431e-02,-2.340461295644436987e-02,-1.610016340410940286e-02
5.000000000000000000e+00,1.558193137289501720e-02,-2.019811282737649441e-02,-1.400849021875249199e-02
5.100000000000000533e+00,1.476714250487386366e-02,-1.688789408857174767e-02,-1.196635044725084460e-02
5.200000000000000178e+00,1.396040762298444461e-02,-1.346000528398073361e-02,-9.965453245163067783e-03
5.300000000000000711e+00,1.316056884617168923e-02,-9.896966162511400267e-03,-7.995064625187323429e-03
5.400000000000000355e+00,1.236578717714978230e-02,-6.178304045830910161e-03,-6.042606544763070436e-03
5.500000000000000000e+00,1.157370019483846234e-02,-2.281310105250641904e-03,-4.094264112524808284e-03
5.600000000000000533e+00,1.078159944591027160e-02,1.817995518478541985e-03,-2.135600346863106465e-03
5.700000000000000178e+00,9.986624784438733957e-03,6.143716641519494231e-03,-1.521798589863109083e-04
5.800000000000000711e+00,9.185969828225835562e-03,1.071879577110322265e-02,1.869797272676105735e-03
5.900000000000000355e+00,8.377089228476033989e-03,1.556365064576802244e-02,3.942852559082944165e-03
6.000000000000000000e+00,7.557895098788998921e-03,2.069480610968493436e-02,6.077582863833516647e-03
6.100000000000000533e+00,6.726927359534589333e-03,2.612360351509848341e-02,8.282023161879658452e-03
6.200000000000000178e+00,5.883481607127154407e-03,3.185507179073532313e-02,1.056103809949778156e-02
6.300000000000000711e+00,5.027679011281590421e-03,3.788703837277469094e-02,1.291576941574708662e-02
6.400000000000000355e+00,4.160466033494350339e-03,4.420954422039200665e-02,1.534317177559308201e-02
6.500000000000000000e+00,3.283537420547899457e-03,5.080460614788977897e-02,1.783567184137356543e-02
6.600000000000000533e+00,2.399183466389423654e-03,5.764634380975851985e-02,2.038098341389867757e-02
6.700000000000000178e+00,1.510071017145777836e-03,6.470146077105168314e-02,2.296210483210798722e-02
6.800000000000000711e+00,6.189758732201515847e-04,7.193004239264400024e-02,2.555751399487176528e-02
6.900000000000000355e+00,-2.715091937427784583e-04,7.928661074162694777e-02,2.814156262588157070e-02
7.000000000000000000e+00,-1.159262744823085899e-03,8.672136067985944385e-02,3.068505658102776285e-02
