t,u1,u2,u3,u4,u5,u6
1.900000000000000133e+00,7.457874908143638515e-02,-1.018865887323329271e-02,1.567848361270394661e-02,3.943817837200574127e-03,-2.785663179994578992e-03,-5.124255006475656685e-04
2.000000000000000000e+00,1.059846975096103705e-01,-1.782210706140186299e-02,1.599779022959949004e-02,6.740362308434572763e-03,-4.281977033447685772e-03,-5.883848280160852316e-04
2.100000000000000089e+00,1.365480610933257344e-01,-2.551950843818647299e-02,1.599776172171638380e-02,9.512680989068178841e-03,-5.768620042601080994e-03,-6.543933004582750887e-04
2.200000000000000178e+00,1.655511227152537956e-01,-3.299020588761304718e-02,1.571151599463002993e-02,1.219184395415603625e-02,-7.207242934679859540e-03,-7.089587187729615983e-04
2.300000000000000266e+00,1.922863071842834393e-01,-3.993919941179217836e-02,1.518501833020819217e-02,1.470708452946083850e-02,-8.558240397688016143e-03,-7.509954785676995360e-04
2.400000000000000355e+00,2.160951137615491624e-01,-4.608706138941441599e-02,1.447360391299804330e-02,1.698991331931853227e-02,-9.783033817090981688e-03,-7.798945788417872707e-04
2.500000000000000000e+00,2.364042648298775307e-01,-5.118935725950010673e-02,1.363751009463071498e-02,1.897830715101287216e-02,-1.084642194609519196e-02,-7.955553854475515708e-04
2.600000000000000089e+00,2.527559095927829347e-01,-5.505352072959271426e-02,1.273694709815107254e-02,2.062058110844253861e-02,-1.171878164749017882e-02,-7.983771190740166683e-04
2.700000000000000178e+00,2.648294016179814081e-01,-5.755144552988745305e-02,1.182728510345030376e-02,2.187856952685152123e-02,-1.237790648880811306e-02,-7.892127894998620437e-04
2.800000000000000266e+00,2.724531662120526776e-01,-5.862662247954543437e-02,1.095489371326289346e-02,2.272981191756004438e-02,-1.281030617174221987e-02,-7.692924692495025155e-04
2.900000000000000355e+00,2.756063076746824714e-01,-5.829536309529519816e-02,1.015404869914498034e-02,2.316855149100469080e-02,-1.301184934453973423e-02,-7.401257154028944825e-04
3.000000000000000000e+00,2.744106847510293656e-01,-5.664237870989821677e-02,9.445148177506497780e-03,2.320548894618350289e-02,-1.298770666387540074e-02,-7.033942378968714541e-04
3.100000000000000089e+00,2.691150450847761832e-01,-5.381160641101754433e-02,8.834290947977309350e-03,2.286637086774862340e-02,-1.275162816648249889e-02,-6.608455634513043511e-04
3.200000000000000178e+00,2.600733597923099438e-01,-4.999360476667356196e-02,8.314097143827699210e-03,2.218961008861169634e-02,-1.232465749181321096e-02,-6.141967537615342131e-04
3.300000000000000266e+00,2.477197142887614667e-01,-4.541104581487649672e-02,7.865520565553757448e-03,2.122321950133704282e-02,-1.173343616637478187e-02,-5.650546944945648853e-04
3.400000000000000355e+00,2.325420306563133477e-01,-4.030381378307591744e-02,7.460326034547905966e-03,2.002138304522157672e-02,-1.100827878105008380e-02,-5.148566179850289862e-04
3.500000000000000000e+00,2.150565987306249927e-01,-3.491502795199575432e-02,7.063884928578083658e-03,1.864098750876333130e-02,-1.018120345490773973e-02,-4.648318270531391584e-04
3.600000000000000089e+00,1.957849688366269381e-01,-2.947899676747428935e-02,6.637969852037520907e-03,1.713840224109716009e-02,-9.284084185867480868e-03,-4.159833766055651247e-04
