epoch,train_loss,epoch_duration,val_loss
1,0.7297609448432922,0.2665419578552246,
2,0.11880939453840256,0.05686235427856445,
3,0.11640079319477081,0.05451560020446777,
4,-0.07821078598499298,0.05431818962097168,
5,-0.10796453058719635,0.0540623664855957,
6,-0.10970659554004669,0.05393171310424805,
7,-0.34269168972969055,0.05406832695007324,
8,-0.3351052701473236,0.054620981216430664,
9,-0.33223778009414673,0.05414080619812012,
10,-0.36596786975860596,0.055816650390625,-3.101824998855591
11,-0.4533616900444031,0.14177894592285156,
12,-0.5631136894226074,0.055115461349487305,
13,-0.6242913007736206,0.054888010025024414,
14,-0.8132207989692688,0.05505490303039551,
15,-0.7844486832618713,0.054368019104003906,
16,-0.9263347387313843,0.055431365966796875,
17,-0.8514944314956665,0.0551145076751709,
18,-0.9421600103378296,0.05480384826660156,
19,-1.0929198265075684,0.05451250076293945,
20,-1.2132434844970703,0.054637908935546875,-2.07967209815979
21,-1.1510436534881592,0.12788796424865723,
22,-1.1741459369659424,0.05408024787902832,
23,-1.1409196853637695,0.055324554443359375,
24,-1.4441449642181396,0.05491232872009277,
25,-1.386968731880188,0.05564618110656738,
26,-1.3434350490570068,0.054494380950927734,
27,-1.692487120628357,0.0550537109375,
28,-1.647899866104126,0.0547788143157959,
29,-1.7224111557006836,0.05466198921203613,
30,-1.5788042545318604,0.05511164665222168,-1.0079336166381836
31,-1.748084306716919,0.128157377243042,
32,-1.8846747875213623,0.05470681190490723,
33,-1.816020131111145,0.05603766441345215,
34,-1.6353459358215332,0.054071664810180664,
35,-1.5246191024780273,0.054761648178100586,
36,-1.7160606384277344,0.05526399612426758,
37,-2.0029385089874268,0.05667257308959961,
38,-1.9804503917694092,0.05457353591918945,
39,-2.043400287628174,0.055475473403930664,
40,-1.9731454849243164,0.05603456497192383,-1.647665023803711
41,-2.033708095550537,0.1253035068511963,
42,-2.157625675201416,0.05431938171386719,
43,-2.087398052215576,0.05458498001098633,
44,-2.1678991317749023,0.05469822883605957,
45,-2.247379779815674,0.05465245246887207,
46,-2.343520402908325,0.0543210506439209,
47,-2.4367754459381104,0.054197072982788086,
48,-2.193657159805298,0.05423879623413086,
49,-2.381758689880371,0.05437445640563965,
50,-2.4268693923950195,0.05508017539978027,-0.8389015197753906
51,-2.228476047515869,0.12699270248413086,
52,-2.392092704772949,0.054512739181518555,
53,-2.3763504028320312,0.05447697639465332,
54,-2.302858829498291,0.05506730079650879,
55,-2.393017292022705,0.05451679229736328,
56,-2.3865084648132324,0.05481767654418945,
57,-2.48822021484375,0.05494999885559082,
58,-2.437645196914673,0.05494213104248047,
59,-2.481513738632202,0.055130958557128906,
60,-2.440235137939453,0.05466175079345703,-1.2594819068908691
61,-2.5583176612854004,0.1258223056793213,
62,-2.420215606689453,0.05444502830505371,
63,-2.5046627521514893,0.054967403411865234,
64,-2.5514180660247803,0.054113149642944336,
65,-2.5526654720306396,0.0547027587890625,
66,-2.491830825805664,0.054479122161865234,
67,-2.4057717323303223,0.054192304611206055,
68,-2.505147933959961,0.05433511734008789,
69,-2.5302023887634277,0.05564546585083008,
70,-2.551389694213867,0.05498790740966797,-1.330733299255371
71,-2.5826945304870605,0.12572932243347168,
72,-2.6323931217193604,0.0538640022277832,
73,-2.603360176086426,0.05357646942138672,
74,-2.5429534912109375,0.05423569679260254,
75,-2.599588394165039,0.05420827865600586,
76,-2.51828932762146,0.053890228271484375,
77,-2.601309299468994,0.054920196533203125,
78,-2.6531143188476562,0.05420947074890137,
79,-2.70375394821167,0.05472517013549805,
80,-2.809624671936035,0.05506634712219238,-1.0738705396652222
81,-2.590242862701416,0.12584424018859863,
82,-2.6625585556030273,0.05459713935852051,
83,-2.7095744609832764,0.05491065979003906,
84,-2.6859564781188965,0.054909706115722656,
85,-2.7291035652160645,0.05451631546020508,
86,-2.7972729206085205,0.05467963218688965,
87,-2.6963117122650146,0.05479741096496582,
88,-2.6360039710998535,0.054700613021850586,
89,-2.7331790924072266,0.054250240325927734,
90,-2.6800100803375244,0.05428361892700195,-0.5997909903526306
91,-2.711498737335205,0.12579703330993652,
92,-2.7855758666992188,0.056874990463256836,
93,-2.8005287647247314,0.05518770217895508,
94,-2.7791948318481445,0.05537581443786621,
95,-2.649850845336914,0.054442405700683594,
96,-2.7561299800872803,0.05518913269042969,
97,-2.6860201358795166,0.05433821678161621,
98,-2.804150342941284,0.05473637580871582,
99,-2.7272629737854004,0.05436253547668457,
100,-2.919090747833252,0.0546109676361084,-0.7579993009567261
101,-2.8316240310668945,0.12530064582824707,
102,-2.7942850589752197,0.05478549003601074,
103,-2.836540937423706,0.05464601516723633,
104,-2.9424901008605957,0.05423283576965332,
105,-2.9361727237701416,0.05461907386779785,
106,-2.848243236541748,0.05486297607421875,
107,-2.8266685009002686,0.05410408973693848,
108,-2.8578381538391113,0.05444645881652832,
109,-2.920290470123291,0.05499124526977539,
110,-2.91984224319458,0.0544588565826416,-0.6173197031021118
111,-2.8918473720550537,0.22602462768554688,
112,-2.8730204105377197,0.053986549377441406,
113,-2.7063918113708496,0.05306077003479004,
114,-2.7579071521759033,0.052910566329956055,
115,-2.9861044883728027,0.05294942855834961,
116,-2.8660569190979004,0.05341839790344238,
117,-2.7424371242523193,0.053849220275878906,
118,-2.775505542755127,0.054409027099609375,
119,-3.0930073261260986,0.05426907539367676,
120,-2.984602928161621,0.054518938064575195,-0.5623196363449097
121,-2.7709431648254395,0.12633776664733887,
122,-2.6921074390411377,0.05603432655334473,
123,-2.9108262062072754,0.05460500717163086,
124,-2.9666881561279297,0.055031538009643555,
125,-2.9031357765197754,0.05478239059448242,
126,-2.923626661300659,0.05425834655761719,
127,-2.8994359970092773,0.05488300323486328,
128,-3.059009552001953,0.05475354194641113,
129,-3.0209925174713135,0.05431246757507324,
130,-2.9845986366271973,0.05443882942199707,-0.6779043078422546
131,-2.9507856369018555,0.12366485595703125,
132,-3.0410876274108887,0.0543828010559082,
133,-3.063958168029785,0.054091691970825195,
134,-2.897789239883423,0.05437517166137695,
135,-2.9395198822021484,0.054270267486572266,
136,-3.135079860687256,0.054429054260253906,
137,-2.8353147506713867,0.05617809295654297,
138,-3.0633790493011475,0.05451178550720215,
139,-3.01674222946167,0.05463910102844238,
140,-3.114788055419922,0.05388212203979492,-0.9165294170379639
141,-3.198406934738159,0.12455415725708008,
142,-2.8956475257873535,0.05480694770812988,
143,-2.850144863128662,0.05350065231323242,
144,-2.9702930450439453,0.05480360984802246,
145,-3.060298442840576,0.054581403732299805,
146,-3.2332968711853027,0.0544130802154541,
147,-3.031050443649292,0.054070234298706055,
148,-2.948509931564331,0.0547184944152832,
149,-3.1735482215881348,0.05508852005004883,
150,-3.167252540588379,0.054553985595703125,-0.8881165981292725
151,-3.0678069591522217,0.1296215057373047,
152,-3.139467239379883,0.05570244789123535,
153,-3.2106423377990723,0.05496621131896973,
154,-3.061978816986084,0.0549318790435791,
155,-3.1164965629577637,0.054033756256103516,
156,-2.968891143798828,0.05458211898803711,
157,-3.137770175933838,0.054352521896362305,
158,-3.2017822265625,0.05390334129333496,
159,-3.1491901874542236,0.05408477783203125,
160,-3.0842084884643555,0.05411696434020996,-1.0673387050628662
161,-3.152585744857788,0.12833309173583984,
162,-3.144585132598877,0.05477595329284668,
163,-2.973015308380127,0.05445075035095215,
164,-3.0628304481506348,0.055634498596191406,
165,-3.0736656188964844,0.05451345443725586,
166,-3.181746006011963,0.054322004318237305,
167,-3.129587173461914,0.05481076240539551,
168,-3.108819007873535,0.05454826354980469,
169,-3.083189010620117,0.05462384223937988,
170,-3.1319141387939453,0.05437207221984863,-0.7296127676963806
171,-3.1654059886932373,0.12428092956542969,
172,-3.121354341506958,0.05408930778503418,
173,-3.207232713699341,0.0541079044342041,
174,-3.2105586528778076,0.05415201187133789,
175,-3.0967533588409424,0.05459928512573242,
176,-2.994135856628418,0.05531120300292969,
177,-3.1035661697387695,0.054204702377319336,
178,-3.103564500808716,0.05468916893005371,
179,-3.059591054916382,0.05512070655822754,
180,-3.191460132598877,0.054471731185913086,-0.751491904258728
181,-3.113582134246826,0.1273047924041748,
182,-3.1101746559143066,0.05446743965148926,
183,-3.1451730728149414,0.05458331108093262,
184,-3.1283490657806396,0.05449414253234863,
